,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
15514,510324002214,Yes,5103240,47,High,375,34.5,11,216,163,0.5699208443,0.5699208443,0.9894459103,1,VIRGINIA,51,90,47,0,0,47,0,0,0,5,31,0,1,0,1,14585,84,80,55,90
15515,510324002307,Yes,5103240,25,High,-1,6,187.5,459,666,0.408,0.408,0.0008888888889,0,VIRGINIA,51,15,106,0,0,96,5,0,5,28,86,2,4,0,0,14585,296,50,104,70
15516,510324002966,Yes,5103240,17,High,-1,5.199999809,6.7,20,15,0.5714285714,0.5714285714,0.02857142857,1,VIRGINIA,51,50,9,0,0,6,2,0,1,9,6,0,0,0,0,14585,4,40.50417174,4,50.59406569
15517,510261002156,Not Applicable,5102610,233,High,194,64,15.1,510,456,0.5279503106,0.5279503106,0.2008281573,1,VIRGINIA,51,88,233,4,3,21,10,9,186,25,51,0,1,1,1,9984,391,90,240,85
15518,510303001268,Not Applicable,5103030,360,High,241,102.2600021,13.8,714,700,0.504950495,0.504950495,0.1704384724,1,VIRGINIA,51,91,377,3,3,20,12,15,324,43,88,0,3,1,1,10987,580,84,342,89
15519,510309001280,Not Applicable,5103090,436,High,425,124.9199982,14.6,894,925,0.4914788345,0.4914788345,0.2336448598,1,VIRGINIA,51,90,438,1,6,151,53,13,214,60,166,0,1,9,1,10491,823,85,449,89
15520,510096000361,Not Applicable,5100960,225,High,377,86.34999847,10.1,425,449,0.4862700229,0.4862700229,0.4313501144,1,VIRGINIA,51,92,233,1,10,43,17,12,150,41,124,0,0,6,1,12953,391,83,50.59406569,80
15521,510198000867,Not Applicable,5101980,257,High,1090,75.59999847,15.3,604,556,0.5206896552,0.5206896552,0.9396551724,1,VIRGINIA,51,80,286,1,0,169,21,2,93,35,126,0,2,9,1,11808,517,73,277,65
15522,510291001198,Not Applicable,5102910,255,High,996,75.70999908,13.3,520,485,0.5174129353,0.5174129353,0.9910447761,1,VIRGINIA,51,75,283,0,3,264,7,0,9,44,203,1,16,9,1,12524,499,59,218,55
15523,510207000878,Not Applicable,5102070,34,High,127,24,8.6,103,103,0.5,0.5,0.6165048544,1,VIRGINIA,51,80,33,1,0,14,0,2,16,4,24,0,1,0,1,13140,77,60,40,80
15524,510102002111,Not Applicable,5101020,56,High,167,27.47999954,12.4,179,163,0.5233918129,0.5233918129,0.4883040936,1,VIRGINIA,51,75,63,0,0,0,1,0,62,9,23,0,1,0,1,11738,61,75,50.59406569,80
15525,510144000637,Not Applicable,5101440,518,High,859,160,13,1048,1035,0.5031204993,0.5031204993,0.4123859818,1,VIRGINIA,51,88,563,0,3,42,23,36,459,81,208,2,1,6,1,11808,941,84,50.59406569,80
15526,510042000171,Not Applicable,5100420,141,High,121,40.79000092,13.1,283,252,0.5289719626,0.5289719626,0.2261682243,1,VIRGINIA,51,90,141,0,1,3,2,0,135,20,29,0,3,0,1,11500,206,90,50.59406569,90
15527,510042000172,Not Applicable,5100420,239,High,175,69.11000061,15.4,539,524,0.5070555033,0.5070555033,0.1646284102,1,VIRGINIA,51,92,247,0,2,6,5,5,229,22,35,1,1,1,1,11500,465,91,50.59406569,85
15528,510333001447,Not Applicable,5103330,241,High,183,73.16999817,14,556,471,0.541382668,0.541382668,0.1781888997,1,VIRGINIA,51,92,252,0,13,15,10,9,205,19,57,2,3,6,1,10475,379,92,263,90
15529,510333001457,Not Applicable,5103330,139,High,122,45.63999939,12.8,297,286,0.5094339623,0.5094339623,0.2092624357,1,VIRGINIA,51,90,136,1,1,2,6,6,120,22,37,0,1,0,1,10475,247,90,140,90
15530,510333001465,Not Applicable,5103330,258,High,303,63.72000122,14.6,465,468,0.498392283,0.498392283,0.3247588424,1,VIRGINIA,51,91,261,0,12,44,20,23,162,38,103,3,0,7,1,10475,412,89,226,90
15531,510333001476,Not Applicable,5103330,260,High,310,85.73999786,12.5,587,483,0.5485981308,0.5485981308,0.2897196262,1,VIRGINIA,51,91,265,0,7,10,8,11,229,34,83,1,0,2,1,10475,430,88,255,85
15532,510333002308,Not Applicable,5103330,188,High,146,57.02999878,14.6,421,412,0.5054021609,0.5054021609,0.175270108,1,VIRGINIA,51,95,191,0,19,6,7,13,146,28,42,2,0,4,1,10475,324,97,230,95
15533,510330001430,Not Applicable,5103300,440,High,1940,127.3499985,15.3,1014,929,0.5218733917,0.5218733917,0.9984559959,1,VIRGINIA,51,83,505,0,15,190,32,17,251,77,254,2,26,35,1,13661,774,83,478,74
15534,510330001438,Yes,5103300,337,High,1676,101.6800003,16.5,926,753,0.5515187612,0.5515187612,0.9982132222,1,VIRGINIA,51,78,418,1,16,234,59,19,89,70,210,5,13,40,1,13661,690,89,336,71
15535,510346002043,Not Applicable,5103460,305,High,389,87.25,14.6,667,611,0.5219092332,0.5219092332,0.3043818466,1,VIRGINIA,51,93,336,0,8,33,12,25,258,36,86,2,0,6,1,10960,477,83,285,90
15536,510030000117,Not Applicable,5100300,113,High,166,40.5,12,245,240,0.5051546392,0.5051546392,0.3422680412,1,VIRGINIA,51,90,113,0,0,0,0,1,112,2,35,2,2,0,1,10946,188,90,50.59406569,75
15537,510030000124,Not Applicable,5100300,196,High,241,58.56000137,13.5,382,406,0.4847715736,0.4847715736,0.3058375635,1,VIRGINIA,51,85,200,0,4,2,12,3,179,24,54,1,0,5,1,10946,314,89,50.59406569,85
