,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
10825,362916003929,Not Applicable,3629160,51,High,160,30.03000069,10.2,144,161,0.4721311475,0.4721311475,0.5245901639,1,NEW YORK,36,70,58,0,0,0,0,1,57,8,29,0,0,0,1,23350,40.50417174,90,50.59406569,90
10826,362535005740,Not Applicable,3625350,542,High,492,150.0800018,14.7,1108,1094,0.5031789282,0.5031789282,0.2234332425,1,NEW YORK,36,94,627,1,32,11,71,4,508,69,153,0,16,15,1,22848,40.50417174,96,50.59406569,95
10827,362535004567,Not Applicable,3625350,564,High,557,139.6900024,15.7,1071,1124,0.4879271071,0.4879271071,0.2537585421,1,NEW YORK,36,94,554,0,29,14,63,4,444,66,136,1,7,0,1,22848,40.50417174,94,50.59406569,96
10828,362706005839,Not Applicable,3627060,410,High,110,111.4000015,14.2,809,768,0.5129993659,0.5129993659,0.06975269499,1,NEW YORK,36,99,399,1,25,2,19,5,347,37,34,0,0,0,1,26501,40.50417174,97,50.59406569,98
10829,362706000327,Not Applicable,3627060,409,High,152,116.8399963,13.5,808,765,0.51366815,0.51366815,0.09663064209,1,NEW YORK,36,94,445,3,15,9,36,6,376,70,39,0,2,14,1,26501,40.50417174,98,50.59406569,97
10830,360384000128,Not Applicable,3603840,388,High,487,121.0199966,12.8,785,763,0.5071059432,0.5071059432,0.3145994832,1,NEW YORK,36,96,374,0,19,199,83,8,65,55,109,1,9,11,1,26640,40.50417174,95,50.59406569,98
10831,360474000217,Yes,3604740,245,High,182,75.31999969,12.8,487,475,0.5062370062,0.5062370062,0.1891891892,1,NEW YORK,36,99,237,0,22,1,28,0,186,17,46,0,2,1,1,27562,40.50417174,95,50.59406569,95
10832,360654000435,Not Applicable,3606540,103,High,138,66.19000244,9.2,298,308,0.4917491749,0.4917491749,0.2277227723,1,NEW YORK,36,95,107,0,11,2,19,1,74,13,25,0,0,4,1,35165,40.50417174,95,50.59406569,95
10833,360984000756,Not Applicable,3609840,377,High,334,129.6000061,11.2,741,705,0.5124481328,0.5124481328,0.2309820194,1,NEW YORK,36,96,424,0,59,19,104,0,242,45,135,0,1,18,1,26132,40.50417174,99,50.59406569,99
10834,360984000761,Not Applicable,3609840,169,High,183,54.5,14,411,352,0.5386631717,0.5386631717,0.2398427261,1,NEW YORK,36,90,182,0,42,6,35,0,99,4,54,0,0,0,1,26132,40.50417174,95,50.59406569,95
10835,360996000769,Not Applicable,3609960,105,High,189,52.22000122,10.6,282,273,0.5081081081,0.5081081081,0.3405405405,1,NEW YORK,36,95,72,0,3,4,14,3,48,7,21,0,2,0,1,30208,40.50417174,90,50.59406569,95
10836,361005000781,Yes,3610050,134,High,38,63.86999893,11.1,377,334,0.5302390999,0.5302390999,0.05344585091,1,NEW YORK,36,95,146,0,31,0,5,0,110,11,13,0,0,0,1,32755,40.50417174,95,50.59406569,95
10837,361098000877,Not Applicable,3610980,444,High,381,142.0399933,13.2,990,888,0.5271565495,0.5271565495,0.2028753994,1,NEW YORK,36,93,479,0,24,28,94,5,328,70,143,0,15,26,1,28978,40.50417174,93,50.59406569,95
